#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      1.08e+01      5.92e-02      3.42e-01      4.54e-02    1.0e-03
   2000      1.43e+00      1.51e-01      4.43e-02      1.45e-02    1.0e-03
   4000      2.70e+00      3.93e-02      8.54e-02      1.67e-02    1.0e-03
   6000      9.09e-01      2.28e-02      2.89e-02      5.33e-02    9.4e-04
   8000      4.83e-01      2.41e-02      1.48e-02      4.05e-02    9.4e-04
  10000      9.05e-01      1.30e-02      2.85e-02      6.78e-02    8.9e-04
  12000      1.27e+00      3.07e-02      4.22e-02      1.91e-02    8.9e-04
  14000      6.99e-01      1.32e-01      1.16e-02      2.88e-02    8.9e-04
  16000      7.52e-01      4.40e-02      2.43e-02      2.24e-02    8.4e-04
  18000      6.61e-01      8.32e-03      2.24e-02      2.04e-02    8.4e-04
  20000      1.35e+00      1.95e-03      4.76e-02      3.11e-02    7.9e-04
  22000      4.15e-01      6.71e-03      1.42e-02      1.66e-02    7.9e-04
  24000      5.63e-01      1.63e-02      1.89e-02      2.54e-02    7.9e-04
  26000      5.30e-01      4.44e-02      1.50e-02      2.54e-02    7.5e-04
  28000      1.20e+00      2.03e-02      4.34e-02      1.33e-02    7.5e-04
  30000      7.06e-01      4.46e-02      1.51e-02      7.00e-02    7.1e-04
  32000      1.58e+00      6.14e-03      5.93e-02      1.88e-02    7.1e-04
  34000      3.90e-01      4.04e-03      1.41e-02      1.39e-02    7.1e-04
  36000      4.42e-01      4.90e-03      1.67e-02      1.09e-02    6.7e-04
  38000      6.07e-01      1.44e-03      2.32e-02      1.26e-02    6.7e-04
  40000      4.16e-01      2.00e-03      1.56e-02      1.75e-02    6.3e-04
  42000      2.27e-01      5.52e-03      8.07e-03      1.17e-02    6.3e-04
  44000      9.01e-01      4.99e-03      3.56e-02      1.34e-02    6.3e-04
  46000      4.78e-01      7.77e-03      1.78e-02      2.33e-02    6.0e-04
  48000      5.57e-01      1.48e-02      2.16e-02      1.56e-02    6.0e-04
  50000      5.37e-01      7.85e-03      2.16e-02      1.74e-02    5.6e-04
  52000      3.41e-01      3.72e-03      1.09e-02      2.60e-02    5.6e-04
  54000      4.51e-01      6.74e-03      1.73e-02      2.10e-02    5.6e-04
  56000      1.40e+00      2.29e-02      5.99e-02      1.26e-02    5.3e-04
  58000      3.58e-01      3.20e-03      1.51e-02      9.72e-03    5.3e-04
  60000      4.03e-01      1.33e-04      1.73e-02      1.25e-02    5.0e-04
  62000      5.78e-01      3.80e-03      2.50e-02      1.49e-02    5.0e-04
  64000      3.82e-01      2.14e-03      1.62e-02      1.29e-02    5.0e-04
  66000      6.90e-01      4.89e-03      3.12e-02      1.17e-02    4.7e-04
  68000      4.55e-01      7.31e-03      1.87e-02      2.05e-02    4.7e-04
  70000      3.98e-01      6.01e-03      1.74e-02      1.48e-02    4.5e-04
